year,country,animal_id,order,family,genus,binomial,pregnant_mod,lactating_mod,specimen_id,specimen_type_group,test_requested,test_requested_protocol,test_requested_mod,test_requested_viral_family,diagnostic_laboratory_name,test_id,confirmation_result_mod,virus_detected,viral_species
2011,Mexico,31607,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180755,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186436,Negative,0,NA
2011,Mexico,31607,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180755,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186326,Negative,0,NA
2011,Mexico,31608,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180760,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186437,Negative,0,NA
2011,Mexico,31608,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,0,180760,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186327,Negative,0,NA
2011,Mexico,31609,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,0,1,180765,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186438,Negative,0,NA
2011,Mexico,31609,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,0,1,180765,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186328,Negative,0,NA
2011,Mexico,31612,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,1,180780,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186441,Negative,0,NA
2011,Mexico,31612,Chiroptera,Phyllostomidae,Glossophaga,Glossophaga soricina,0,1,180780,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186331,Negative,0,NA
2011,Mexico,31613,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,1,180785,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186442,Negative,0,NA
2011,Mexico,31613,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,1,180785,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186332,Negative,0,NA
2011,Mexico,31614,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,0,1,180790,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186443,Negative,0,NA
2011,Mexico,31614,Chiroptera,Phyllostomidae,Platyrrhinus,Platyrrhinus helleri,0,1,180790,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186333,Negative,0,NA
2011,Mexico,31615,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,0,1,180735,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186444,Negative,0,NA
2011,Mexico,31615,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,0,1,180735,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186334,Negative,0,NA
2011,Mexico,31616,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,1,0,180740,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186445,Negative,0,NA
2011,Mexico,31616,Chiroptera,Phyllostomidae,Uroderma,Uroderma bilobatum,1,0,180740,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186335,Negative,0,NA
2011,Mexico,31618,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,0,0,180793,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186446,Negative,0,NA
2011,Mexico,31618,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,0,0,180793,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186336,Negative,0,NA
2011,Mexico,31620,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,0,0,180803,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186447,Negative,0,NA
2011,Mexico,31620,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,0,0,180803,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186337,Negative,0,NA
2011,Mexico,31621,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,0,0,180808,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186448,Negative,0,NA
2011,Mexico,31621,Chiroptera,Phyllostomidae,Artibeus,Artibeus lituratus,0,0,180808,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186338,Negative,0,NA
2011,Mexico,31622,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,1,0,180813,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,Mexican Social Security Institute,186449,Negative,0,NA
2011,Mexico,31622,Chiroptera,Phyllostomidae,Sturnira,Sturnira ludovici,1,0,180813,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,Mexican Social Security Institute,186339,Negative,0,NA
2010,Rwanda,42477,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242869,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,MUWRP,471925,Negative,0,NA
2010,Rwanda,42481,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242883,rectal/anal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,MUWRP,471899,Negative,0,NA
2010,Rwanda,42481,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242883,rectal/anal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,MUWRP,498468,Positive,1,PREDICT_CoV-43
2010,Rwanda,42481,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242883,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,MUWRP,471878,Negative,0,NA
2010,Rwanda,42487,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242877,rectal/anal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,MUWRP,471954,Negative,0,NA
2010,Rwanda,42487,Chiroptera,Hipposideridae,Hipposideros,Hipposideros caffer,0,0,242877,rectal/anal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,MUWRP,471851,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",641959,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671827,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642030,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642029,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642427,Positive,1,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671419,Negative,0,NA
2011,Brazil,75631,Chiroptera,Phyllostomidae,Sturnira,Sturnira lilium,1,0,383224,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671374,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",641953,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671885,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642107,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642144,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642376,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671435,Negative,0,NA
2011,Brazil,75643,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383345,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671399,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",641949,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671886,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642119,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642118,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642377,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671437,Negative,0,NA
2011,Brazil,75644,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383117,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671365,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",641981,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671828,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642151,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642146,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642426,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671420,Negative,0,NA
2011,Brazil,75645,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383310,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671375,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",641940,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671856,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642131,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642130,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642390,Negative,0,NA
2011,Brazil,75648,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,382813,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671357,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",642004,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671858,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642020,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642014,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642409,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671440,Negative,0,NA
2011,Brazil,75650,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383088,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671359,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",642008,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671860,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642060,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642059,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642411,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Nipahviruses,"Wacharapluesadee et al, N gene","Paramyxoviridae, Niphaviruses: Wacharapluesadee, N",Paramyxoviridae,"ICB II, University of São Paulo",671442,Negative,0,NA
2011,Brazil,75652,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383234,oral/nasal/oropharyngeal swab,Paramyxoviruses,"Tong et al, Pol gene","Paramyxoviridae, Paramyxoviruses: Tong, Pol",Paramyxoviridae,"ICB II, University of São Paulo",671362,Negative,0,NA
2011,Brazil,75653,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383248,oral/nasal/oropharyngeal swab,Adenoviruses,"Wellehan et al, Pol gene","Adenoviridae, Adenoviruses: Wellehan, Pol",Adenoviridae,"ICB II, University of São Paulo",642009,Negative,0,NA
2011,Brazil,75653,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383248,oral/nasal/oropharyngeal swab,Astroviruses,"Chu et al, RdRp gene","Astroviridae, Astroviruses: Chu, RdRp",Astroviridae,"ICB II, University of São Paulo",671870,Negative,0,NA
2011,Brazil,75653,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383248,oral/nasal/oropharyngeal swab,Coronaviruses,"Modified Watanabe et al, RdRp gene","Coronaviridae, Coronaviruses: Anthony, RdRp",Coronaviridae,"ICB II, University of São Paulo",642106,Negative,0,NA
2011,Brazil,75653,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383248,oral/nasal/oropharyngeal swab,Coronaviruses,"Quan et al, RdRp gene","Coronaviridae, Coronaviruses: Quan, RdRp",Coronaviridae,"ICB II, University of São Paulo",642061,Negative,0,NA
2011,Brazil,75653,Chiroptera,Phyllostomidae,Carollia,Carollia perspicillata,1,0,383248,oral/nasal/oropharyngeal swab,Herpesviruses,"Van DeVanter et al, Pol gene","Herpesviridae, Herpesviruses: VanDevanter, Pol",Herpesviridae,"ICB II, University of São Paulo",642412,Negative,0,NA
